id,firstName,lastName,age,hometown,department,title,yearsWithOrganization
S001,Stephen M.,Ross,86,N/A,Ownership,"Founder, Owner and Executive Chairman of Ross Sports & Entertainment",17
S002,Daniel,Sillman,40,N/A,Front Office/Executive,"CEO, Ross Sports & Entertainment",8
S003,Bruce,Beal,65,N/A,Front Office/Executive,Vice Chairman/Partner,17
S004,Tom,Garfinkel,58,N/A,Front Office/Executive,Vice Chairman,13
S005,Brandon,Shore,44,N/A,Football Operations,"Executive Vice President, Football Operations",6
S006,Jon-Eric,Sullivan,41,N/A,Football Operations,General Manager,5
S007,Todd,Boyan,52,N/A,Stadium Operations,"Executive Vice President, Hard Rock Stadium Operations",12
S008,Kyle,Smith,40,N/A,Football Operations,Assistant General Manager,3
S009,Matt,Winston,37,N/A,Scouting,"Director, Player Personnel",4
S010,Shaun,Herock,55,N/A,Scouting,Senior Personnel Executive,3
S011,Jon,Robinson,54,N/A,Scouting,Senior Personnel Executive,2
S012,Ella,Summer,33,N/A,Analytics,"Director, Football Analytics",4
S013,Kyle,Johnston,46,N/A,Medical/Athletic Training,"Vice President, Sports Medicine & Performance/Head Athletic Trainer",10
S014,Nat,Moore,74,N/A,Front Office/Executive,"Senior Vice President, Special Projects, Alumni Relations & Advisor to CEO",40
S015,Anne,Noland,50,N/A,Media Relations,"Senior Vice President, Communications & Marketing",15
S016,Chris,Clements,52,N/A,Business Operations,"Executive Vice President, Chief Financial Officer",12
S017,Jason,Green,47,N/A,Business Operations,"Executive Vice President, Chief Revenue Officer",9
S018,Myles,Pistorius,45,N/A,Front Office/Executive,"Senior Vice President, General Counsel",10
