key,value
Team Name,Green Bay Packers
City,"Green Bay, Wisconsin"
Home Stadium,Lambeau Field
Founded,1919
Conference,NFC
Division,North
Owner,"Publicly Owned (Green Bay Packers, Inc. - shareholder-owned, no individual owner)"
President,Ed Policy
General Manager,Brian Gutekunst
Head Coach,Matt LaFleur
Primary Colors,"Green, Gold"
Data Last Verified,2026-08-28
Note,"Player/coach/staff records reflect the roster and organizational chart as of the date above, sourced from the team's official site and ESPN. NFL rosters change constantly (trades, cuts, injuries) - re-verify against the official team site before a graded submission if exact accuracy matters. A few less-public fields (age for assistant coaches/staff, hometown for all people) were not published by these sources and are marked N/A or estimated rather than guessed as fact."
