key,value
Team Name,Denver Broncos
City,"Denver, Colorado"
Home Stadium,Empower Field at Mile High
Founded,1960
Conference,AFC
Division,West
Owner,"Greg Penner (Owner/CEO), Rob Walton, Carrie Walton Penner"
President,Damani Leech
General Manager,George Paton
Head Coach,Sean Payton
Primary Colors,"Broncos Orange, Navy Blue, White"
Data Last Verified,2026-08-28
Note,"Player/coach/staff records reflect the roster and organizational chart as of the date above, sourced from the team's official site and ESPN. NFL rosters change constantly (trades, cuts, injuries) - re-verify against the official team site before a graded submission if exact accuracy matters. A few less-public fields (age for assistant coaches/staff, hometown for all people) were not published by these sources and are marked N/A or estimated rather than guessed as fact."
