key,value
Team Name,Tampa Bay Buccaneers
City,"Tampa, Florida"
Home Stadium,Raymond James Stadium
Founded,1976
Conference,NFC
Division,South
Owner,"Glazer Family (Joel, Bryan, Edward, Avram, Kevin & Darcie Glazer)"
General Manager,Jason Licht
Head Coach,Todd Bowles
Primary Colors,"Buccaneer Red, Pewter, Black, Orange"
Data Last Verified,2026-08-28
Note,"Player/coach/staff records reflect the roster and organizational chart as of the date above, sourced from the team's official site and ESPN. NFL rosters change constantly (trades, cuts, injuries) - re-verify against the official team site before a graded submission if exact accuracy matters. A few less-public fields (age for assistant coaches/staff, hometown for all people) were not published by these sources and are marked N/A or estimated rather than guessed as fact."
